ds,yhat,yhat_lower,yhat_upper,y,categorie,type
2025-08-18,90.0,-0.9,183.6,62.0,Accessoires,historique
2025-08-19,74.4,-18.4,162.4,73.0,Accessoires,historique
2025-08-20,80.9,-15.7,180.1,70.0,Accessoires,historique
2025-08-21,73.7,-20.4,173.3,54.0,Accessoires,historique
2025-08-22,77.4,-21.7,177.8,76.0,Accessoires,historique
2025-08-23,84.9,-12.0,175.0,38.0,Accessoires,historique
2025-08-24,87.8,-6.9,184.2,70.0,Accessoires,historique
2025-08-25,91.9,-3.7,183.3,60.0,Accessoires,historique
2025-08-26,76.2,-12.3,171.1,71.0,Accessoires,historique
2025-08-27,82.8,-13.9,179.3,83.0,Accessoires,historique
2025-08-28,75.6,-19.0,170.0,54.0,Accessoires,historique
2025-08-29,79.2,-16.4,177.6,77.0,Accessoires,historique
2025-08-30,86.8,-6.0,177.8,89.0,Accessoires,historique
2025-08-31,89.7,-2.3,179.3,96.0,Accessoires,historique
2025-09-01,93.8,0.9,184.1,104.0,Accessoires,historique
2025-09-02,78.1,-14.0,168.0,131.0,Accessoires,historique
2025-09-03,84.7,-9.5,170.6,123.0,Accessoires,historique
2025-09-04,77.5,-10.2,174.2,126.0,Accessoires,historique
2025-09-05,81.1,-9.5,176.8,129.0,Accessoires,historique
2025-09-06,88.7,-3.7,186.4,108.0,Accessoires,historique
2025-09-07,91.6,0.9,187.0,109.0,Accessoires,historique
2025-09-08,95.6,5.7,188.4,141.0,Accessoires,historique
2025-09-09,80.0,-13.6,172.1,97.0,Accessoires,historique
2025-09-10,86.6,0.3,179.1,113.0,Accessoires,historique
2025-09-11,79.4,-16.0,162.9,83.0,Accessoires,historique
2025-09-12,83.0,-12.7,174.7,101.0,Accessoires,historique
2025-09-13,90.6,-0.9,178.8,119.0,Accessoires,historique
2025-09-14,93.5,-0.5,194.1,103.0,Accessoires,historique
2025-09-15,97.5,-0.2,196.7,91.0,Accessoires,historique
2025-09-16,81.9,-13.4,179.4,104.0,Accessoires,historique
2025-09-17,88.5,-0.0,176.7,94.0,Accessoires,historique
2025-09-18,81.3,-7.8,180.9,138.0,Accessoires,historique
2025-09-19,84.9,-8.4,174.9,117.0,Accessoires,historique
2025-09-20,92.5,-2.4,186.1,117.0,Accessoires,historique
2025-09-21,95.4,-2.9,190.1,137.0,Accessoires,historique
2025-09-22,99.4,4.6,189.8,114.0,Accessoires,historique
2025-09-23,83.8,-15.9,174.6,115.0,Accessoires,historique
2025-09-24,90.4,-3.1,190.9,139.0,Accessoires,historique
2025-09-25,83.1,-11.5,170.4,159.0,Accessoires,historique
2025-09-26,86.8,-5.0,179.0,94.0,Accessoires,historique
2025-09-27,94.4,-2.6,188.4,79.0,Accessoires,historique
2025-09-28,97.3,-0.8,193.1,97.0,Accessoires,historique
2025-09-29,101.3,4.2,187.0,124.0,Accessoires,historique
2025-09-30,85.7,-4.9,181.7,117.0,Accessoires,historique
2025-10-01,92.3,-1.5,192.9,68.0,Accessoires,historique
2025-10-02,85.0,-9.9,170.7,64.0,Accessoires,historique
2025-10-03,88.7,-4.4,179.1,61.0,Accessoires,historique
2025-10-04,96.3,8.3,191.4,69.0,Accessoires,historique
2025-10-05,99.2,2.7,196.0,51.0,Accessoires,historique
2025-10-06,103.2,10.8,191.6,66.0,Accessoires,historique
2025-10-07,87.6,-4.9,184.7,83.0,Accessoires,historique
2025-10-08,94.1,2.3,184.5,77.0,Accessoires,historique
2025-10-09,86.9,-7.7,183.9,66.0,Accessoires,historique
2025-10-10,90.6,3.9,180.6,135.0,Accessoires,historique
2025-10-11,98.1,8.9,194.1,199.0,Accessoires,historique
2025-10-12,101.1,6.8,198.4,149.0,Accessoires,historique
2025-10-13,105.1,6.1,200.1,172.0,Accessoires,historique
2025-10-14,89.4,-11.3,187.4,199.0,Accessoires,historique
2025-10-15,96.0,-0.0,188.6,184.0,Accessoires,historique
2025-10-16,88.8,-2.9,173.7,162.0,Accessoires,historique
2025-10-17,92.4,0.7,189.1,172.0,Accessoires,historique
2025-10-18,100.0,13.4,194.2,161.0,Accessoires,historique
2025-10-19,102.9,10.1,195.2,193.0,Accessoires,historique
2025-10-20,107.0,13.3,195.8,165.0,Accessoires,historique
2025-10-21,91.3,-1.9,189.5,72.0,Accessoires,historique
2025-10-22,97.9,4.2,183.6,79.0,Accessoires,historique
2025-10-23,90.7,-6.2,184.0,52.0,Accessoires,historique
2025-10-24,94.3,3.1,184.0,60.0,Accessoires,historique
2025-10-25,101.9,9.2,194.0,77.0,Accessoires,historique
2025-10-26,104.8,14.7,196.3,80.0,Accessoires,historique
2025-10-27,108.8,15.6,202.9,77.0,Accessoires,historique
2025-10-28,93.2,-4.4,183.5,78.0,Accessoires,historique
2025-10-29,99.8,10.0,191.3,77.0,Accessoires,historique
2025-10-30,92.6,-0.4,189.2,81.0,Accessoires,historique
2025-10-31,96.2,-2.6,193.4,69.0,Accessoires,historique
2025-11-01,103.8,5.8,191.8,60.0,Accessoires,historique
2025-11-02,106.7,12.5,205.4,60.0,Accessoires,historique
2025-11-03,110.7,14.9,200.6,86.0,Accessoires,historique
2025-11-04,95.1,0.4,191.3,54.0,Accessoires,historique
2025-11-05,101.7,9.7,192.4,74.0,Accessoires,historique
2025-11-06,94.5,-0.9,194.2,91.0,Accessoires,historique
2025-11-07,98.1,6.2,191.9,55.0,Accessoires,historique
2025-11-08,105.7,9.7,190.9,76.0,Accessoires,historique
2025-11-09,108.6,11.9,202.5,86.0,Accessoires,historique
2025-11-10,112.6,13.1,200.3,62.0,Accessoires,historique
2025-11-11,97.0,-1.7,185.4,85.0,Accessoires,historique
2025-11-12,103.6,12.9,195.0,114.0,Accessoires,historique
2025-11-13,96.4,9.5,184.6,96.0,Accessoires,historique
2025-11-14,100.0,6.9,188.4,74.0,Accessoires,historique
2025-11-15,107.6,10.2,201.5,73.0,Accessoires,historique
2025-11-16,110.5,18.9,203.5,84.0,Accessoires,historique
2025-11-17,114.5,16.9,211.3,72.0,Accessoires,historique
2025-11-18,98.9,6.2,184.2,90.0,Accessoires,historique
2025-11-19,105.5,14.6,202.2,69.0,Accessoires,historique
2025-11-20,98.2,7.2,192.2,91.0,Accessoires,historique
2025-11-21,101.9,8.2,197.0,76.0,Accessoires,historique
2025-11-22,109.5,7.1,204.4,71.0,Accessoires,historique
2025-11-23,112.4,20.5,207.6,82.0,Accessoires,historique
2025-11-24,116.4,22.7,211.9,291.0,Accessoires,historique
2025-11-25,100.8,4.4,191.1,219.0,Accessoires,historique
2025-11-26,107.4,15.7,206.0,276.0,Accessoires,historique
2025-11-27,100.1,11.7,188.2,245.0,Accessoires,historique
2025-11-28,103.8,12.2,200.3,271.0,Accessoires,historique
2025-11-29,111.4,13.5,205.4,242.0,Accessoires,historique
2025-11-30,114.3,26.9,209.7,241.0,Accessoires,historique
2025-12-01,118.3,24.8,211.1,77.0,Accessoires,historique
2025-12-02,102.7,8.2,198.7,58.0,Accessoires,historique
2025-12-03,109.2,13.4,205.1,82.0,Accessoires,historique
2025-12-04,102.0,6.8,194.6,78.0,Accessoires,historique
2025-12-05,105.7,15.7,198.8,72.0,Accessoires,historique
2025-12-06,113.2,21.1,204.4,91.0,Accessoires,historique
2025-12-07,116.2,20.2,207.1,70.0,Accessoires,historique
2025-12-08,120.2,25.6,212.6,59.0,Accessoires,historique
2025-12-09,104.5,9.4,198.1,74.0,Accessoires,historique
2025-12-10,111.1,19.2,200.3,77.0,Accessoires,historique
2025-12-11,103.9,11.3,202.6,65.0,Accessoires,historique
2025-12-12,107.5,10.3,206.8,87.0,Accessoires,historique
2025-12-13,115.1,23.0,208.2,68.0,Accessoires,historique
2025-12-14,118.0,24.4,210.6,67.0,Accessoires,historique
2025-12-15,122.1,28.9,209.8,135.0,Accessoires,historique
2025-12-16,106.4,18.1,197.7,148.0,Accessoires,historique
2025-12-17,113.0,19.0,204.4,104.0,Accessoires,historique
2025-12-18,105.8,11.9,200.9,147.0,Accessoires,historique
2025-12-19,109.4,12.0,195.3,155.0,Accessoires,historique
2025-12-20,117.0,25.9,213.0,166.0,Accessoires,historique
2025-12-21,119.9,29.1,218.3,159.0,Accessoires,historique
2025-12-22,123.9,31.6,222.3,129.0,Accessoires,historique
2025-12-23,108.3,11.4,200.8,160.0,Accessoires,historique
2025-12-24,114.9,20.6,207.4,163.0,Accessoires,historique
2025-12-25,107.7,17.1,206.3,157.0,Accessoires,historique
2025-12-26,111.3,11.6,206.4,169.0,Accessoires,historique
2025-12-27,118.9,29.7,208.5,161.0,Accessoires,historique
2025-12-28,121.8,26.5,219.6,176.0,Accessoires,historique
2025-12-29,125.8,27.0,221.0,154.0,Accessoires,historique
2025-12-30,110.2,17.1,196.6,151.0,Accessoires,historique
2025-12-31,116.8,22.3,208.6,188.0,Accessoires,historique
2026-01-01,109.6,23.3,201.4,76.0,Accessoires,historique
2026-01-02,113.2,14.5,206.2,86.0,Accessoires,historique
2026-01-03,120.8,19.4,220.2,76.0,Accessoires,historique
2026-01-04,123.7,31.4,222.8,82.0,Accessoires,historique
2026-01-05,127.8,34.1,224.5,68.0,Accessoires,historique
2026-01-06,112.2,21.3,209.0,79.0,Accessoires,historique
2026-01-07,118.8,23.6,216.8,92.0,Accessoires,historique
2026-01-08,111.6,24.4,209.1,72.0,Accessoires,historique
2026-01-09,115.2,14.7,208.2,95.0,Accessoires,historique
2026-01-10,122.9,25.1,216.2,121.0,Accessoires,historique
2026-01-11,125.8,28.9,215.0,103.0,Accessoires,historique
2026-01-12,129.8,31.3,218.4,72.0,Accessoires,historique
2026-01-13,114.2,13.7,203.8,75.0,Accessoires,historique
2026-01-14,120.8,30.8,219.8,94.0,Accessoires,historique
2026-01-15,113.6,18.0,202.7,80.0,Accessoires,historique
2026-01-16,117.4,25.7,203.6,95.0,Accessoires,historique
2026-01-17,125.0,34.2,223.1,82.0,Accessoires,historique
2026-01-18,128.0,37.2,219.2,86.0,Accessoires,historique
2026-01-19,132.1,42.5,223.6,76.0,Accessoires,historique
2026-01-20,116.5,19.7,211.0,74.0,Accessoires,historique
2026-01-21,123.2,33.1,212.6,75.0,Accessoires,historique
2026-01-22,116.0,27.1,207.4,106.0,Accessoires,historique
2026-01-23,119.7,25.5,210.9,85.0,Accessoires,historique
2026-01-24,127.4,38.5,224.1,73.0,Accessoires,historique
2026-01-25,130.4,30.6,223.5,98.0,Accessoires,historique
2026-01-26,134.4,48.3,228.1,94.0,Accessoires,historique
2026-01-27,118.9,29.1,210.8,81.0,Accessoires,historique
2026-01-28,125.6,35.6,222.2,76.0,Accessoires,historique
2026-01-29,118.5,24.7,212.4,94.0,Accessoires,historique
2026-01-30,122.3,22.8,213.5,104.0,Accessoires,historique
2026-01-31,130.0,36.2,224.5,75.0,Accessoires,historique
2026-02-01,133.0,42.1,227.1,93.0,Accessoires,historique
2026-02-02,137.1,42.8,234.3,95.0,Accessoires,historique
2026-02-03,121.6,31.1,222.4,79.0,Accessoires,historique
2026-02-04,128.3,32.9,223.6,83.0,Accessoires,historique
2026-02-05,121.2,28.6,211.3,96.0,Accessoires,historique
2026-02-06,125.0,33.7,221.4,89.0,Accessoires,historique
2026-02-07,132.7,35.6,223.0,95.0,Accessoires,historique
2026-02-08,135.8,44.8,231.4,106.0,Accessoires,historique
2026-02-09,140.0,45.9,225.1,65.0,Accessoires,historique
2026-02-10,124.5,32.8,215.5,278.0,Accessoires,historique
2026-02-11,131.3,44.2,228.5,317.0,Accessoires,historique
2026-02-12,124.2,27.6,221.1,258.0,Accessoires,historique
2026-02-13,128.0,37.0,229.6,293.0,Accessoires,historique
2026-02-14,135.8,52.8,227.3,281.0,Accessoires,historique
2026-02-15,138.9,43.3,230.2,276.0,Accessoires,historique
2026-02-16,143.1,51.4,235.2,258.0,Accessoires,historique
2026-02-17,127.6,35.8,224.8,97.0,Accessoires,historique
2026-02-18,134.4,45.8,231.5,96.0,Accessoires,historique
2026-02-19,127.3,35.6,219.6,105.0,Accessoires,historique
2026-02-20,131.2,32.4,220.8,75.0,Accessoires,historique
2026-02-21,139.0,47.8,231.4,107.0,Accessoires,historique
2026-02-22,142.1,46.3,238.5,86.0,Accessoires,historique
2026-02-23,146.3,47.0,247.0,96.0,Accessoires,historique
2026-02-24,130.9,44.8,221.5,86.0,Accessoires,historique
2026-02-25,137.7,47.9,230.5,94.0,Accessoires,historique
2026-02-26,130.7,35.8,226.6,107.0,Accessoires,historique
2026-02-27,134.6,39.8,227.2,86.0,Accessoires,historique
2026-02-28,142.4,55.2,235.7,78.0,Accessoires,historique
2026-03-01,145.5,55.4,239.4,95.0,Accessoires,historique
2026-03-02,149.8,61.0,247.3,84.0,Accessoires,historique
2026-03-03,134.4,34.5,232.0,95.0,Accessoires,historique
2026-03-04,141.3,50.3,235.2,87.0,Accessoires,historique
2026-03-05,134.3,40.9,227.3,91.0,Accessoires,historique
2026-03-06,138.2,41.3,232.3,89.0,Accessoires,historique
2026-03-07,146.1,53.3,243.5,98.0,Accessoires,historique
2026-03-08,149.2,53.5,237.4,95.0,Accessoires,historique
2026-03-09,153.5,54.3,245.6,77.0,Accessoires,historique
2026-03-10,138.2,52.2,231.0,96.0,Accessoires,historique
2026-03-11,145.0,53.8,230.7,113.0,Accessoires,historique
2026-03-12,138.1,50.8,234.3,89.0,Accessoires,historique
2026-03-13,142.0,48.5,241.1,86.0,Accessoires,historique
2026-03-14,149.8,53.9,248.6,101.0,Accessoires,historique
2026-03-15,153.1,58.2,250.0,128.0,Accessoires,historique
2026-03-16,157.4,58.7,256.1,85.0,Accessoires,historique
2026-03-17,142.1,46.5,234.4,118.0,Accessoires,historique
2026-03-18,148.9,51.5,243.4,289.0,Accessoires,historique
2026-03-19,142.0,49.6,233.8,257.0,Accessoires,historique
2026-03-20,146.0,56.9,243.4,299.0,Accessoires,historique
2026-03-21,153.9,62.7,252.0,293.0,Accessoires,historique
2026-03-22,157.1,64.5,252.3,272.0,Accessoires,historique
2026-03-23,161.4,71.8,257.7,295.0,Accessoires,historique
2026-03-24,146.1,60.1,237.4,290.0,Accessoires,historique
2026-03-25,153.0,57.8,251.8,267.0,Accessoires,historique
2026-03-26,146.1,52.3,242.6,101.0,Accessoires,historique
2026-03-27,150.0,58.5,246.5,89.0,Accessoires,historique
2026-03-28,158.0,63.1,253.9,89.0,Accessoires,historique
2026-03-29,161.2,72.2,258.6,106.0,Accessoires,historique
2026-03-30,165.5,71.9,258.1,115.0,Accessoires,historique
2026-03-31,150.2,65.6,245.5,86.0,Accessoires,historique
2026-04-01,157.2,60.6,247.7,302.0,Accessoires,historique
2026-04-02,150.3,63.2,239.0,292.0,Accessoires,historique
2026-04-03,154.2,60.3,246.8,329.0,Accessoires,historique
2026-04-04,162.1,59.2,249.8,309.0,Accessoires,historique
2026-04-05,165.4,74.9,257.8,333.0,Accessoires,historique
2026-04-06,169.7,80.2,265.9,326.0,Accessoires,historique
2026-04-07,154.5,57.2,241.7,306.0,Accessoires,historique
2026-04-08,161.4,74.2,256.9,104.0,Accessoires,historique
2026-04-09,154.5,55.8,239.3,116.0,Accessoires,historique
2026-04-10,158.5,67.4,249.7,102.0,Accessoires,historique
2026-04-11,166.4,67.2,260.8,110.0,Accessoires,historique
2026-04-12,169.7,77.1,258.6,111.0,Accessoires,historique
2026-04-13,174.1,71.3,262.7,110.0,Accessoires,historique
2026-04-14,158.8,69.2,254.1,92.0,Accessoires,historique
2026-04-15,165.7,71.7,262.2,85.0,Accessoires,historique
2026-04-16,158.9,68.3,255.2,108.0,Accessoires,historique
2026-04-17,162.9,69.3,252.2,110.0,Accessoires,historique
2026-04-18,170.8,79.3,264.4,106.0,Accessoires,historique
2026-04-19,174.1,84.7,268.6,111.0,Accessoires,historique
2026-04-20,178.5,84.9,275.8,110.0,Accessoires,historique
2026-04-21,163.3,66.1,253.3,122.0,Accessoires,historique
2026-04-22,170.2,83.9,271.6,137.0,Accessoires,historique
2026-04-23,163.4,71.8,259.1,130.0,Accessoires,historique
2026-04-24,167.4,71.6,265.4,101.0,Accessoires,historique
2026-04-25,175.4,81.7,265.4,130.0,Accessoires,historique
2026-04-26,178.7,92.8,270.0,112.0,Accessoires,historique
2026-04-27,183.1,89.4,271.2,112.0,Accessoires,historique
2026-04-28,167.9,68.8,259.8,77.0,Accessoires,historique
2026-04-29,174.9,83.0,264.5,109.0,Accessoires,historique
2026-04-30,168.0,69.6,265.8,114.0,Accessoires,historique
2026-05-01,172.1,77.2,266.2,104.0,Accessoires,historique
2026-05-02,180.0,88.7,275.6,150.0,Accessoires,historique
2026-05-03,183.3,83.0,273.9,113.0,Accessoires,historique
2026-05-04,187.7,91.1,282.7,131.0,Accessoires,historique
2026-05-05,172.5,83.0,272.6,131.0,Accessoires,historique
2026-05-06,179.5,85.7,263.4,112.0,Accessoires,historique
2026-05-07,172.7,69.2,271.6,131.0,Accessoires,historique
2026-05-08,176.7,88.0,268.5,107.0,Accessoires,historique
2026-05-09,184.7,97.6,283.6,124.0,Accessoires,historique
2026-05-10,188.0,95.5,276.4,127.0,Accessoires,historique
2026-05-11,192.4,104.5,288.1,152.0,Accessoires,historique
2026-05-12,177.1,82.5,267.9,100.0,Accessoires,historique
2026-05-13,184.1,87.8,274.5,96.0,Accessoires,historique
2026-05-14,177.3,83.2,266.8,111.0,Accessoires,historique
2026-05-15,181.3,90.7,271.9,123.0,Accessoires,historique
2026-05-16,189.3,98.7,281.8,138.0,Accessoires,historique
2026-05-17,192.6,103.8,284.0,121.0,Accessoires,historique
2026-05-18,197.0,106.0,289.7,127.0,Accessoires,historique
2026-05-19,181.7,91.6,280.3,159.0,Accessoires,historique
2026-05-20,188.7,89.5,276.9,126.0,Accessoires,historique
2026-05-21,181.9,85.4,276.0,94.0,Accessoires,historique
2026-05-22,185.9,85.6,280.3,124.0,Accessoires,historique
2026-05-23,193.9,95.8,291.3,151.0,Accessoires,historique
2026-05-24,197.2,107.7,286.4,143.0,Accessoires,historique
2026-05-25,201.6,108.8,293.3,243.0,Accessoires,historique
2026-05-26,186.4,97.7,287.7,288.0,Accessoires,historique
2026-05-27,193.3,97.6,292.5,240.0,Accessoires,historique
2026-05-28,186.5,89.2,278.0,249.0,Accessoires,historique
2026-05-29,190.5,100.8,290.0,289.0,Accessoires,historique
2026-05-30,198.5,103.3,296.6,249.0,Accessoires,historique
2026-05-31,201.8,109.6,289.9,267.0,Accessoires,historique
2026-06-01,206.2,112.1,301.4,302.0,Accessoires,historique
2026-06-02,191.0,97.9,286.4,247.0,Accessoires,historique
2026-06-03,198.0,109.5,295.4,285.0,Accessoires,historique
2026-06-04,191.1,100.4,282.4,259.0,Accessoires,historique
2026-06-05,195.2,98.9,288.8,277.0,Accessoires,historique
2026-06-06,203.1,104.7,295.5,155.0,Accessoires,historique
2026-06-07,206.4,111.8,302.2,145.0,Accessoires,historique
2026-06-08,210.8,122.1,303.8,167.0,Accessoires,historique
2026-06-09,195.6,106.1,287.2,175.0,Accessoires,historique
2026-06-10,202.6,110.6,300.8,166.0,Accessoires,historique
2026-06-11,195.8,103.6,295.4,162.0,Accessoires,historique
2026-06-12,199.8,104.8,297.4,145.0,Accessoires,historique
2026-06-13,207.8,113.6,297.6,151.0,Accessoires,historique
2026-06-14,211.1,116.3,304.5,180.0,Accessoires,historique
2026-06-15,215.5,119.4,306.2,171.0,Accessoires,historique
2026-06-16,200.2,110.4,296.6,193.0,Accessoires,historique
2026-06-17,207.2,113.1,306.8,168.0,Accessoires,historique
2026-06-18,200.4,111.9,293.2,183.0,Accessoires,historique
2026-06-19,204.4,102.8,301.3,182.0,Accessoires,historique
2026-06-20,212.4,122.3,308.7,672.0,Accessoires,historique
2026-06-21,215.7,122.8,305.0,717.0,Accessoires,historique
2026-06-22,220.1,124.1,311.8,690.0,Accessoires,historique
2026-06-23,204.8,110.3,301.5,196.0,Accessoires,historique
2026-06-24,211.8,118.9,301.2,180.0,Accessoires,historique
2026-06-25,205.0,113.1,296.2,206.0,Accessoires,historique
2026-06-26,209.0,115.9,304.5,226.0,Accessoires,historique
2026-06-27,217.0,121.2,306.1,219.0,Accessoires,historique
2026-06-28,220.3,126.0,315.0,224.0,Accessoires,historique
2026-06-29,224.7,125.1,314.6,319.0,Accessoires,historique
2026-06-30,209.5,120.6,297.5,109.0,Accessoires,historique
2026-07-01,216.4,121.0,307.1,,Accessoires,prevision
2026-07-02,209.6,111.8,301.0,,Accessoires,prevision
2026-07-03,213.6,121.5,313.9,,Accessoires,prevision
2026-07-04,221.6,126.7,313.5,,Accessoires,prevision
2026-07-05,224.9,132.6,319.9,,Accessoires,prevision
2026-07-06,229.3,138.7,317.5,,Accessoires,prevision
2026-07-07,214.1,113.9,310.4,,Accessoires,prevision
2026-07-08,221.1,131.0,313.8,,Accessoires,prevision
2026-07-09,214.2,126.2,305.3,,Accessoires,prevision
2026-07-10,218.3,117.6,311.0,,Accessoires,prevision
2026-07-11,226.2,133.6,325.2,,Accessoires,prevision
2026-07-12,229.5,143.2,324.3,,Accessoires,prevision
2026-07-13,233.9,143.1,327.7,,Accessoires,prevision
2026-07-14,218.7,126.0,305.4,,Accessoires,prevision
2026-07-15,225.7,128.9,328.1,,Accessoires,prevision
2026-07-16,218.9,125.0,311.9,,Accessoires,prevision
2026-07-17,222.9,132.2,315.2,,Accessoires,prevision
2026-07-18,230.9,136.1,325.4,,Accessoires,prevision
2026-07-19,234.2,137.7,323.6,,Accessoires,prevision
2026-07-20,238.6,145.1,333.5,,Accessoires,prevision
2026-07-21,223.3,137.4,315.2,,Accessoires,prevision
2026-07-22,230.3,133.0,324.8,,Accessoires,prevision
2026-07-23,223.5,124.9,322.2,,Accessoires,prevision
2026-07-24,227.5,139.6,317.7,,Accessoires,prevision
2026-07-25,235.5,144.7,333.7,,Accessoires,prevision
2026-07-26,238.8,140.0,333.2,,Accessoires,prevision
2026-07-27,243.2,152.2,336.2,,Accessoires,prevision
2026-07-28,227.9,137.4,326.2,,Accessoires,prevision
2026-07-29,234.9,136.9,328.5,,Accessoires,prevision
2026-07-30,228.1,132.6,322.0,,Accessoires,prevision
2025-07-01,30.8,-19.4,81.9,30.0,Audio,historique
2025-07-02,34.6,-16.5,80.0,37.0,Audio,historique
2025-07-03,30.8,-18.0,75.2,23.0,Audio,historique
2025-07-04,32.9,-16.5,79.5,37.0,Audio,historique
2025-07-05,34.4,-12.5,84.7,31.0,Audio,historique
2025-07-06,35.2,-17.6,87.6,31.0,Audio,historique
2025-07-07,36.6,-14.8,88.5,27.0,Audio,historique
2025-07-08,31.8,-18.4,83.0,49.0,Audio,historique
2025-07-09,35.6,-10.1,85.3,47.0,Audio,historique
2025-07-10,31.8,-21.5,80.9,40.0,Audio,historique
2025-07-11,33.9,-13.6,82.9,26.0,Audio,historique
2025-07-12,35.4,-15.2,81.2,37.0,Audio,historique
2025-07-13,36.2,-11.7,82.2,24.0,Audio,historique
2025-07-14,37.6,-11.1,89.9,17.0,Audio,historique
2025-07-15,32.8,-21.1,85.3,31.0,Audio,historique
2025-07-16,36.6,-15.0,88.3,39.0,Audio,historique
2025-07-17,32.8,-15.0,82.5,40.0,Audio,historique
2025-07-18,34.9,-15.1,82.8,30.0,Audio,historique
2025-07-19,36.3,-14.2,86.3,24.0,Audio,historique
2025-07-20,37.1,-14.4,90.4,39.0,Audio,historique
2025-07-21,38.6,-10.5,90.6,45.0,Audio,historique
2025-07-22,33.7,-15.3,82.7,37.0,Audio,historique
2025-07-23,37.6,-10.6,90.2,40.0,Audio,historique
2025-07-24,33.8,-16.5,82.1,33.0,Audio,historique
2025-07-25,35.8,-17.5,83.9,37.0,Audio,historique
2025-07-26,37.3,-13.2,85.9,41.0,Audio,historique
2025-07-27,38.1,-12.0,83.1,27.0,Audio,historique
2025-07-28,39.6,-12.2,89.5,31.0,Audio,historique
2025-07-29,34.7,-12.0,87.5,25.0,Audio,historique
2025-07-30,38.5,-12.7,85.7,41.0,Audio,historique
2025-07-31,34.7,-13.1,82.0,33.0,Audio,historique
2025-08-01,36.8,-11.5,85.7,21.0,Audio,historique
2025-08-02,38.3,-10.4,85.1,20.0,Audio,historique
2025-08-03,39.1,-10.3,90.6,40.0,Audio,historique
2025-08-04,40.6,-8.1,88.4,24.0,Audio,historique
2025-08-05,35.7,-15.1,86.9,27.0,Audio,historique
2025-08-06,39.5,-9.7,87.8,35.0,Audio,historique
2025-08-07,35.7,-10.5,88.7,32.0,Audio,historique
2025-08-08,37.8,-9.8,85.8,44.0,Audio,historique
2025-08-09,39.3,-6.6,91.1,13.0,Audio,historique
